group_id,group_project_id,summary,details,priority,hours,start_date,end_date,category_id,percent_complete,assigned_to,dependent_on,duration,parent_id,tracker_id
64,296,Make a button on home page to create goal,Make a button on home page to create goal,3,2,11/28/12,12/10/12,,0,100,,,,684
64,296,Make view for adding goal,Make view for adding goal,3,6,11/28/12,12/10/12,,0,100,,,,684
64,296,Code saving of the goal,Code saving of the goal,3,2,11/28/12,12/10/12,,0,100,,,,684
64,296,Add list of goals to home page,Add list of goals to home page,3,4,11/28/12,12/10/12,,0,100,,,,684
64,296,Test on Android & iOS,Test on Android & iOS,3,2,11/28/12,12/10/12,,0,100,,,,684
64,296,Code view changes for edit,Code view changes for edit,3,6,11/28/12,12/10/12,,0,100,,,,686
64,296,Code update to database,Code update to database,3,2,11/28/12,12/10/12,,0,100,,,,686
64,296,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,686
64,296,Code delete button action,Code delete button action,3,4,11/28/12,12/10/12,,0,100,,,,687
64,296,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,687
64,297,Code subgoal list view,Make subgoal list view,3,6,11/28/12,12/10/12,,0,100,,,,688
64,297,Code add subgoal view,Code add subgoal view,3,4,11/28/12,12/10/12,,0,100,,,,688
64,297,Code Save button,Code Save button,3,2,11/28/12,12/10/12,,0,100,,,,688
64,297,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,688
64,297,Code view changes for edit,Code view changes for edit,3,6,11/28/12,12/10/12,,0,100,,,,689
64,297,Code update to database,Code update to database,3,3,11/28/12,12/10/12,,0,100,,,,689
64,297,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,689
64,297,Code delete button action,Code delete button action,3,4,11/28/12,12/10/12,,0,100,,,,690
64,297,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,690
64,298,Code view for adding step,Code view for adding step,3,4,11/28/12,12/10/12,,0,100,,,,694
64,298,Code saving of step,Code saving of step,3,2,11/28/12,12/10/12,,0,100,,,,694
64,298,Code list of steps,Code list of steps,3,6,11/28/12,12/10/12,,0,100,,,,694
64,298,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,694
64,298,Code view changes for edit,Code view changes for edit,3,6,11/28/12,12/10/12,,0,100,,,,695
64,298,Code update to database,Code update to database,3,2,11/28/12,12/10/12,,0,100,,,,695
64,298,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,695
64,298,Code delete button action,Code delete button action,3,4,11/28/12,12/10/12,,0,100,,,,696
64,298,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,696
64,296,Code template list view from 'Add Goal From Template' button,Code template list view from 'Add Goal From Template' button,3,6,11/28/12,12/10/12,,0,100,,,,685
64,296,Code template copy to real goal,Code template copy to real goal,3,6,11/28/12,12/10/12,,0,100,,,,685
64,296,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,685
64,298,Add start button to list of steps,Add button to list of steps,3,6,11/28/12,12/10/12,,0,100,,,,697
64,298,Code start button,Code start button,3,3,11/28/12,12/10/12,,0,100,,,,697
64,298,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,697
64,298,Add end button to list of steps for active step,Add end button to list of steps for active step,3,6,11/28/12,12/10/12,,0,100,,,,698
64,298,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,698
64,297,Code logic to know a subgoal has been started,Code logic to know a subgoal has been started,3,4,11/28/12,12/10/12,,0,100,,,,691
64,297,Code picture taking when starting a subgoal,Code picture taking when starting a subgoal,3,4,11/28/12,12/10/12,,0,100,,,,691
64,297,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,691
64,297,Code logic to know a subgoal is complete,Code logic to know a subgoal is complete,3,4,11/28/12,12/10/12,,0,100,,,,692
64,297,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,692
64,297,Code view to rate subgoal,Code view to rate subgoal,3,2,11/28/12,12/10/12,,0,100,,,,693
64,297,Code trigger to make rating box show up when last step for a subgoal is complete,Code trigger to make rating box show up when last step for a subgoal is complete,3,6,11/28/12,12/10/12,,0,100,,,,693
64,297,Test on Android & iOS,Test on Android & iOS,3,1,11/28/12,12/10/12,,0,100,,,,693
